Strategy,Period,Badge,Signals,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,Max_Return,Min_Return
SS-Sniper (3D),IS (2021-2024),기본 (뱃지 없음),25,2.5689513693581296,0.136986301369868,52.0,16.23798896374049,0.15820625171593666,40.81346423562413,-21.327123104557423
SS-Sniper (3D),IS (2021-2024),🔥 ATR만,15,-1.7097979827509555,-3.937007874015752,46.666666666666664,12.408782173977134,-0.13778934618875247,18.4652278177458,-21.327123104557423
SS-Sniper (3D),IS (2021-2024),⚡ Z-VOL만,24,3.280913829939957,1.8334396016217225,54.166666666666664,16.183728445182958,0.20272916967514443,40.81346423562413,-21.327123104557423
SS-Sniper (3D),IS (2021-2024),🔥⚡ 둘 다,15,-1.7097979827509555,-3.937007874015752,46.666666666666664,12.408782173977134,-0.13778934618875247,18.4652278177458,-21.327123104557423
SS-Sniper (3D),OOS (2025),기본 (뱃지 없음),6,10.51475697244466,8.9211305389982,83.33333333333334,14.510723369970428,0.7246197659728447,28.148148148148145,-9.233176838810644
SS-Sniper (3D),OOS (2025),🔥 ATR만,3,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056,25.88785046728972,-9.233176838810644
SS-Sniper (3D),OOS (2025),⚡ Z-VOL만,6,10.51475697244466,8.9211305389982,83.33333333333334,14.510723369970428,0.7246197659728447,28.148148148148145,-9.233176838810644
SS-Sniper (3D),OOS (2025),🔥⚡ 둘 다,3,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056,25.88785046728972,-9.233176838810644
S-Tactical (1D),IS (2021-2024),기본 (뱃지 없음),86,2.9437365170050964,-3.32590603009133,43.02325581395349,31.943628801042923,0.09215410482446461,198.83747475634385,-36.578449905482046
S-Tactical (1D),IS (2021-2024),🔥 ATR만,63,1.492275009703634,-7.549857549857553,39.682539682539684,34.109564837616276,0.04374945903906526,198.83747475634385,-36.578449905482046
S-Tactical (1D),IS (2021-2024),⚡ Z-VOL만,86,2.9437365170050964,-3.32590603009133,43.02325581395349,31.943628801042923,0.09215410482446461,198.83747475634385,-36.578449905482046
S-Tactical (1D),IS (2021-2024),🔥⚡ 둘 다,63,1.492275009703634,-7.549857549857553,39.682539682539684,34.109564837616276,0.04374945903906526,198.83747475634385,-36.578449905482046
S-Tactical (1D),OOS (2025),기본 (뱃지 없음),29,19.991160358876684,5.555485924848968,51.724137931034484,57.507819861611324,0.3476250778934771,260.7361963190184,-35.86956521739131
S-Tactical (1D),OOS (2025),🔥 ATR만,19,31.400840378348498,11.122876328777533,63.1578947368421,66.00418624071621,0.47574013357016687,260.7361963190184,-35.86956521739131
S-Tactical (1D),OOS (2025),⚡ Z-VOL만,27,22.177654696634317,5.555485924848968,51.85185185185185,59.18963738266055,0.37468813254009226,260.7361963190184,-35.86956521739131
S-Tactical (1D),OOS (2025),🔥⚡ 둘 다,17,36.106791887418915,18.467843229089056,64.70588235294117,68.44157550049289,0.527556410316108,260.7361963190184,-35.86956521739131
A-Base (3D),IS (2021-2024),기본 (뱃지 없음),1648,1.2641318722286656,-2.5995024875621886,42.17233009708738,22.00092419912437,0.05745812588541065,313.9499620924944,-46.889952153110045
A-Base (3D),IS (2021-2024),🔥 ATR만,1334,1.2716108542897417,-2.6791956819643694,41.67916041979011,21.984894072537084,0.05784020837645074,313.9499620924944,-44.03684550743374
A-Base (3D),IS (2021-2024),⚡ Z-VOL만,1552,0.9576601922512743,-2.6668708420533207,41.81701030927835,20.56552897052817,0.046566280576768426,201.72413793103448,-46.889952153110045
A-Base (3D),IS (2021-2024),🔥⚡ 둘 다,1283,0.855546993253448,-2.7737226277372296,41.46531566640686,20.13704847233102,0.042486216112008576,201.72413793103448,-44.03684550743374
A-Base (3D),OOS (2025),기본 (뱃지 없음),718,8.134818238637568,2.4518283600019175,49.02506963788301,26.25497025980202,0.30983917171265957,181.0133954571928,-44.31216931216932
A-Base (3D),OOS (2025),🔥 ATR만,545,7.858130795120552,2.166666666666661,49.357798165137616,24.833436463341442,0.3164334830066933,181.0133954571928,-43.63143631436315
A-Base (3D),OOS (2025),⚡ Z-VOL만,693,8.028233632642351,2.574001334203535,49.06204906204906,25.99598887875903,0.3088258604081075,181.0133954571928,-43.63143631436315
A-Base (3D),OOS (2025),🔥⚡ 둘 다,538,7.72866001609017,2.229654403567438,49.628252788104085,24.472965270363478,0.3158039874084855,181.0133954571928,-43.63143631436315
Pension-SELL (3D),IS (2021-2024),기본 (뱃지 없음),395,3.0444329919800053,-2.5140462813065367,42.025316455696206,27.335412866066793,0.11137322150196077,198.83747475634385,-58.09954751131221
Pension-SELL (3D),IS (2021-2024),🔥 ATR만,295,2.8706704232856928,-3.607620591811922,38.30508474576271,28.02214147538298,0.10244293519849411,198.83747475634385,-36.35547576301615
Pension-SELL (3D),IS (2021-2024),⚡ Z-VOL만,382,3.3762560959879377,-2.5452679071589044,42.14659685863874,27.563135210393792,0.12249172926869308,198.83747475634385,-37.43119266055046
Pension-SELL (3D),IS (2021-2024),🔥⚡ 둘 다,290,2.8714291670130496,-3.938947286761568,37.93103448275862,28.257688360878294,0.10161585513797496,198.83747475634385,-36.35547576301615
Pension-SELL (3D),OOS (2025),기본 (뱃지 없음),151,11.233889114756153,4.261077119612722,52.980132450331126,32.791922499209754,0.3425809851504399,260.7361963190184,-35.86956521739131
Pension-SELL (3D),OOS (2025),🔥 ATR만,109,10.79102365567867,4.20560747663552,51.37614678899083,34.326210521560384,0.3143668785956084,260.7361963190184,-35.86956521739131
Pension-SELL (3D),OOS (2025),⚡ Z-VOL만,146,11.881946402485445,4.590818363273463,54.109589041095894,33.144222523938936,0.35849223477496034,260.7361963190184,-35.86956521739131
Pension-SELL (3D),OOS (2025),🔥⚡ 둘 다,106,11.39204941362185,4.6293994829986085,51.886792452830186,34.59394065431353,0.3293076532523152,260.7361963190184,-35.86956521739131
