VR,Price,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,MDD,Avg_Win,Avg_Loss,Win_Loss_Ratio,Profit_Factor,Expected_Value,Best_Return,Worst_Return
4.5,15,IS,4,384,1.8,1.72,-2.44,43.8,21.2,0.081,-99.84,18.02,-10.96,1.64,1.28,1.72,203.6,-43.82
4.5,15,OOS,1,138,2.7,6.77,0.38,49.3,24.45,0.277,-80.01,22.84,-10.03,2.28,2.38,6.16,123.33,-41.87
5.0,3,IS,4,1622,7.8,1.76,-1.0,46.4,17.4,0.101,-99.64,13.88,-8.72,1.59,1.38,1.76,242.56,-40.73
5.0,3,OOS,1,475,9.1,6.06,0.84,52.2,19.33,0.313,-96.71,18.23,-7.86,2.32,2.65,5.77,123.33,-41.87
5.0,5,IS,4,1367,6.6,1.8,-1.07,46.3,16.94,0.106,-98.72,14.33,-9.01,1.59,1.37,1.8,203.6,-40.73
5.0,5,OOS,1,410,7.9,6.21,0.6,52.0,19.96,0.311,-93.41,18.88,-8.0,2.36,2.64,5.96,123.33,-41.87
5.0,7,IS,4,1111,5.3,2.02,-1.04,46.4,17.68,0.114,-97.23,15.15,-9.36,1.62,1.4,2.02,203.6,-40.73
5.0,7,OOS,1,351,6.8,5.97,0.49,51.6,19.94,0.3,-93.28,18.88,-8.35,2.26,2.51,5.69,123.33,-41.87
5.0,8,IS,4,982,4.7,2.14,-0.77,47.0,18.27,0.117,-98.4,15.46,-9.69,1.6,1.42,2.14,203.6,-40.73
5.0,8,OOS,1,318,6.1,5.88,0.41,51.3,20.31,0.289,-89.7,18.95,-8.52,2.22,2.45,5.56,123.33,-41.87
5.0,9,IS,4,866,4.2,2.24,-0.98,46.9,18.74,0.12,-98.72,15.99,-9.9,1.62,1.43,2.24,203.6,-38.29
5.0,9,OOS,1,277,5.3,6.12,0.37,50.5,20.71,0.296,-84.79,19.67,-8.47,2.32,2.5,5.75,123.33,-41.87
5.0,10,IS,4,753,3.6,2.39,-1.17,47.0,19.46,0.123,-98.49,16.65,-10.27,1.62,1.44,2.39,203.6,-38.29
5.0,10,OOS,1,249,4.8,5.91,0.24,49.8,21.03,0.281,-83.22,19.84,-8.61,2.3,2.4,5.56,123.33,-41.87
5.0,12,IS,4,569,2.7,2.48,-1.7,46.0,20.8,0.119,-99.47,18.08,-10.83,1.67,1.42,2.48,203.6,-38.29
5.0,12,OOS,1,189,3.6,6.13,0.3,50.3,21.85,0.281,-86.78,20.18,-8.86,2.28,2.43,5.74,123.33,-41.87
5.0,15,IS,4,358,1.7,1.7,-2.69,43.3,21.37,0.08,-99.78,18.19,-10.89,1.67,1.28,1.7,203.6,-38.29
5.0,15,OOS,1,120,2.3,6.74,0.25,49.2,24.05,0.28,-76.35,22.66,-9.75,2.32,2.41,6.19,123.33,-41.87
5.5,3,IS,4,1323,6.4,1.9,-0.79,46.6,16.91,0.112,-98.66,14.06,-8.73,1.61,1.41,1.9,203.6,-38.29
5.5,3,OOS,1,372,7.2,5.8,0.57,51.9,19.43,0.299,-94.08,17.82,-7.85,2.27,2.58,5.47,123.33,-41.87
5.5,5,IS,4,1132,5.4,2.16,-1.01,46.3,17.58,0.123,-98.24,15.02,-8.92,1.68,1.45,2.16,203.6,-38.29
5.5,5,OOS,1,325,6.2,6.23,0.57,52.0,20.21,0.308,-90.0,18.79,-7.92,2.37,2.67,5.97,123.33,-41.87
5.5,7,IS,4,943,4.5,2.29,-1.03,46.3,18.21,0.126,-97.74,15.66,-9.26,1.69,1.46,2.29,203.6,-38.29
5.5,7,OOS,1,286,5.5,6.02,0.56,52.1,20.27,0.297,-89.47,18.73,-8.43,2.22,2.53,5.72,123.33,-41.87
5.5,8,IS,4,844,4.1,2.48,-0.7,47.3,18.72,0.132,-97.11,15.84,-9.5,1.67,1.49,2.48,203.6,-38.29
5.5,8,OOS,1,260,5.0,6.06,0.48,51.9,20.7,0.293,-83.61,18.94,-8.55,2.21,2.51,5.72,123.33,-41.87
5.5,9,IS,4,752,3.6,2.53,-0.7,47.5,19.22,0.132,-97.34,16.24,-9.86,1.65,1.49,2.53,203.6,-38.29
5.5,9,OOS,1,227,4.4,6.09,0.37,50.7,21.0,0.29,-78.79,19.52,-8.47,2.3,2.5,5.71,123.33,-41.87
5.5,10,IS,4,659,3.2,2.79,-0.74,47.6,19.98,0.14,-97.64,16.99,-10.13,1.68,1.53,2.79,203.6,-38.29
5.5,10,OOS,1,209,4.0,5.93,0.36,50.2,21.21,0.28,-75.04,19.46,-8.56,2.27,2.44,5.52,123.33,-41.87
5.5,12,IS,4,504,2.4,2.86,-1.45,46.4,21.23,0.135,-98.96,18.33,-10.56,1.74,1.5,2.86,203.6,-38.29
5.5,12,OOS,1,159,3.1,6.42,0.36,50.9,22.01,0.292,-83.71,19.93,-8.58,2.32,2.58,5.94,123.33,-41.87
5.5,15,IS,4,323,1.6,1.87,-2.55,43.3,21.85,0.086,-99.57,18.46,-10.82,1.71,1.31,1.87,203.6,-38.29
5.5,15,OOS,1,102,2.0,7.55,0.39,50.0,24.71,0.305,-71.21,23.09,-9.32,2.48,2.69,6.89,123.33,-41.87
6.0,3,IS,4,1098,5.3,2.03,-0.72,46.8,17.38,0.117,-98.34,14.34,-8.8,1.63,1.43,2.03,203.6,-38.29
6.0,3,OOS,1,303,5.8,5.07,0.56,51.2,18.1,0.28,-92.96,17.02,-8.16,2.09,2.31,4.72,105.7,-41.87
6.0,5,IS,4,944,4.5,2.29,-0.93,46.6,18.02,0.127,-96.53,15.21,-8.99,1.69,1.48,2.29,203.6,-38.29
6.0,5,OOS,1,266,5.1,5.23,0.41,50.4,18.82,0.278,-91.3,18.01,-8.36,2.16,2.29,4.93,105.7,-41.87
6.0,7,IS,4,800,3.8,2.4,-1.01,46.5,18.59,0.129,-95.55,15.85,-9.28,1.71,1.48,2.4,203.6,-38.29
6.0,7,OOS,1,236,4.5,5.31,0.41,50.4,19.49,0.272,-90.33,18.52,-8.86,2.09,2.24,4.95,105.7,-41.87
6.0,8,IS,4,722,3.5,2.47,-0.72,47.1,19.05,0.13,-95.44,15.97,-9.54,1.67,1.49,2.47,203.6,-38.29
6.0,8,OOS,1,218,4.2,5.01,0.3,49.1,19.69,0.254,-87.49,18.65,-8.89,2.1,2.14,4.63,105.7,-41.87
6.0,9,IS,4,652,3.1,2.54,-0.72,47.2,19.42,0.131,-95.73,16.29,-9.78,1.67,1.49,2.54,203.6,-38.29
6.0,9,OOS,1,191,3.7,4.85,-0.62,47.6,19.64,0.247,-83.82,18.98,-8.83,2.15,2.08,4.42,105.7,-41.87
6.0,10,IS,4,576,2.8,2.75,-0.77,47.6,20.2,0.136,-95.66,16.93,-10.12,1.67,1.52,2.75,203.6,-38.29
6.0,10,OOS,1,178,3.4,4.36,-0.89,46.6,19.49,0.224,-80.94,18.51,-8.83,2.1,1.96,3.92,105.7,-41.87
6.0,12,IS,4,447,2.1,2.67,-1.51,46.1,21.28,0.125,-98.08,18.03,-10.46,1.72,1.47,2.67,203.6,-38.29
6.0,12,OOS,1,138,2.7,4.63,-0.45,47.8,19.49,0.238,-83.91,18.32,-8.85,2.07,2.04,4.15,105.7,-41.87
6.0,15,IS,4,289,1.4,1.99,-2.33,42.9,22.31,0.089,-98.98,18.83,-10.67,1.76,1.33,1.99,203.6,-38.29
6.0,15,OOS,1,91,1.8,5.87,-0.74,47.3,22.03,0.266,-71.21,21.5,-9.41,2.28,2.23,5.19,105.7,-41.87
6.5,3,IS,4,938,4.5,2.3,-0.63,47.3,17.84,0.129,-96.83,14.69,-8.84,1.66,1.49,2.3,203.6,-38.29
6.5,3,OOS,1,242,4.7,6.08,1.42,54.5,19.04,0.319,-88.15,17.32,-8.47,2.04,2.64,5.59,105.7,-41.87
6.5,5,IS,4,810,3.9,2.68,-0.7,47.5,18.54,0.145,-93.5,15.6,-9.03,1.73,1.57,2.68,203.6,-38.29
6.5,5,OOS,1,215,4.1,6.46,1.24,54.0,19.78,0.327,-86.11,18.53,-8.59,2.16,2.69,6.04,105.7,-41.87
6.5,7,IS,4,686,3.3,2.88,-0.63,47.7,19.11,0.15,-94.77,16.21,-9.28,1.75,1.59,2.88,203.6,-38.29
6.5,7,OOS,1,194,3.7,6.56,1.12,54.1,20.41,0.321,-87.53,18.95,-9.11,2.08,2.63,6.08,105.7,-41.87
6.5,8,IS,4,624,3.0,3.0,-0.5,48.4,19.64,0.153,-94.21,16.43,-9.6,1.71,1.61,3.0,203.6,-38.29
6.5,8,OOS,1,180,3.5,6.25,0.72,52.8,20.62,0.303,-83.77,19.05,-9.15,2.08,2.51,5.74,105.7,-41.87
6.5,9,IS,4,569,2.7,2.99,-0.51,48.2,19.97,0.15,-94.68,16.74,-9.79,1.71,1.59,2.99,203.6,-38.29
6.5,9,OOS,1,156,3.0,6.1,0.48,51.3,20.56,0.297,-80.18,19.3,-8.99,2.15,2.45,5.52,105.7,-41.87
6.5,10,IS,4,510,2.5,3.24,-0.52,48.4,20.7,0.156,-93.54,17.37,-10.04,1.73,1.63,3.24,203.6,-38.29
6.5,10,OOS,1,147,2.8,5.99,0.41,51.0,20.53,0.292,-78.25,19.17,-8.98,2.13,2.43,5.38,105.7,-41.87
6.5,12,IS,4,403,1.9,3.16,-1.17,46.9,21.81,0.145,-95.4,18.55,-10.43,1.78,1.57,3.16,203.6,-38.29
6.5,12,OOS,1,117,2.2,6.23,0.48,52.1,20.45,0.305,-80.45,19.07,-9.13,2.09,2.5,5.57,105.7,-41.87
6.5,15,IS,4,266,1.3,2.45,-2.18,43.6,22.78,0.107,-98.02,19.32,-10.61,1.82,1.41,2.45,203.6,-38.29
6.5,15,OOS,1,83,1.6,7.04,0.4,49.4,22.58,0.312,-72.0,22.21,-9.32,2.38,2.57,6.26,105.7,-41.87
7.0,3,IS,4,783,3.8,1.66,-0.8,45.5,16.59,0.1,-98.95,14.42,-8.98,1.61,1.34,1.66,93.97,-38.29
7.0,3,OOS,1,198,3.8,7.0,2.35,56.6,19.94,0.351,-88.97,18.39,-8.55,2.15,2.94,6.69,105.7,-41.87
7.0,5,IS,4,681,3.3,1.91,-1.04,45.5,17.13,0.111,-98.15,15.21,-9.21,1.65,1.38,1.91,93.97,-38.29
7.0,5,OOS,1,176,3.4,7.48,2.32,55.1,20.9,0.358,-88.02,20.17,-8.73,2.31,2.95,7.2,105.7,-41.87
7.0,7,IS,4,589,2.8,2.06,-1.04,45.7,17.3,0.119,-97.14,15.59,-9.32,1.67,1.41,2.06,93.97,-38.29
7.0,7,OOS,1,162,3.1,7.64,2.32,55.6,21.43,0.356,-88.16,20.48,-9.12,2.25,2.93,7.33,105.7,-41.87
7.0,8,IS,4,534,2.6,2.13,-0.88,46.4,17.71,0.12,-97.36,15.73,-9.66,1.63,1.41,2.13,93.97,-38.29
7.0,8,OOS,1,150,2.9,7.36,1.42,54.7,21.64,0.34,-85.13,20.45,-9.16,2.23,2.82,7.03,105.7,-41.87
7.0,9,IS,4,485,2.3,2.19,-1.01,46.2,18.21,0.121,-97.78,16.33,-9.94,1.64,1.41,2.19,93.97,-38.29
7.0,9,OOS,1,129,2.5,7.28,0.92,53.5,21.58,0.338,-79.67,20.74,-9.01,2.3,2.79,6.91,105.7,-41.87
7.0,10,IS,4,437,2.1,2.39,-1.02,46.5,18.85,0.127,-98.28,16.97,-10.26,1.65,1.44,2.39,93.97,-38.29
7.0,10,OOS,1,121,2.3,7.35,1.04,53.7,21.56,0.341,-76.89,20.68,-9.0,2.3,2.82,6.94,105.7,-41.87
7.0,12,IS,4,352,1.7,2.09,-1.8,44.6,19.51,0.107,-99.24,17.85,-10.61,1.68,1.36,2.09,93.97,-38.29
7.0,12,OOS,1,99,1.9,7.34,1.04,54.5,21.4,0.343,-74.92,20.31,-9.34,2.18,2.8,6.83,105.7,-41.87
7.0,15,IS,4,237,1.1,1.2,-2.28,42.2,18.86,0.064,-99.6,17.49,-10.68,1.64,1.19,1.2,88.77,-38.29
7.0,15,OOS,1,69,1.3,8.37,0.51,50.7,23.88,0.351,-63.87,24.13,-9.42,2.56,2.89,7.6,105.7,-41.87
8.0,3,IS,4,574,2.8,1.74,-0.98,45.5,16.99,0.102,-98.45,14.88,-9.22,1.61,1.35,1.74,88.77,-38.29
8.0,3,OOS,1,129,2.5,5.91,0.41,50.4,21.0,0.281,-89.35,19.69,-8.77,2.24,2.39,5.57,105.7,-41.87
8.0,5,IS,4,511,2.5,1.95,-1.16,45.4,17.35,0.112,-98.23,15.52,-9.34,1.66,1.38,1.95,88.77,-38.29
8.0,5,OOS,1,117,2.2,6.23,-0.51,48.7,21.84,0.285,-88.44,21.57,-8.85,2.44,2.39,5.97,105.7,-41.87
8.0,7,IS,4,447,2.1,2.03,-1.21,45.0,17.66,0.115,-96.66,16.18,-9.54,1.7,1.39,2.03,88.77,-38.29
8.0,7,OOS,1,107,2.1,6.4,0.4,49.5,22.42,0.285,-88.35,21.76,-9.25,2.35,2.4,6.11,105.7,-41.87
8.0,8,IS,4,411,2.0,2.06,-1.04,45.7,17.95,0.115,-97.65,16.21,-9.88,1.64,1.38,2.06,88.77,-38.29
8.0,8,OOS,1,98,1.9,6.07,-0.32,49.0,22.53,0.27,-84.09,21.46,-9.32,2.3,2.3,5.76,105.7,-41.87
8.0,9,IS,4,375,1.8,2.0,-1.22,45.3,18.36,0.109,-98.19,16.63,-10.14,1.64,1.36,2.0,88.77,-38.29
8.0,9,OOS,1,83,1.6,5.86,-1.25,47.0,22.73,0.258,-78.24,22.31,-9.41,2.37,2.2,5.49,105.7,-41.87
8.0,10,IS,4,340,1.6,2.19,-1.29,45.6,18.95,0.116,-98.57,17.23,-10.42,1.65,1.39,2.19,88.77,-38.29
8.0,10,OOS,1,76,1.5,5.71,-1.3,46.1,22.68,0.252,-75.27,22.37,-9.25,2.42,2.17,5.31,105.7,-41.87
8.0,12,IS,4,280,1.3,1.85,-2.18,44.3,19.43,0.095,-98.8,17.83,-10.85,1.64,1.31,1.85,88.77,-38.29
8.0,12,OOS,1,64,1.2,6.27,-1.2,46.9,24.17,0.26,-71.22,23.77,-10.13,2.35,2.2,5.76,105.7,-41.87
8.0,15,IS,4,194,0.9,1.05,-2.44,41.8,19.47,0.054,-99.48,17.9,-11.03,1.62,1.16,1.05,88.77,-38.29
8.0,15,OOS,1,47,0.9,8.04,-2.65,44.7,27.11,0.296,-60.43,29.28,-10.55,2.78,2.43,7.25,105.7,-41.87
